Key,Language-En,Language-De,Language-Fr,Language-EsLA,Language-Es,Language-PtBR,Language-Pt,Language-It,Language-Uk,Language-Pl,Language-Cz,Language-Tr,Language-Nl,Language-Dk,Language-No,Language-Se,Language-Fi,Language-Ro,Language-Hu,Language-Bg,Language-Vn,Language-In,Language-Ph,Language-Th,Language-Ko,Language-Ja,Language-Zhtw,Language-Zhcn,Comment
Controls_Section,Раздел,Abschnitt,Section,Sección,Sección,Seção,Seção,Sezione,Розділ,Sekcja,Sekce,Bölüm,Sectie,Sektion,Seksjon,Sektion,Osa,Secțiunea,Szakasz,Раздел,Mục,Bagian,Seksyon,ส่วน,섹션,パート,部分,部分,
Controls_PrevSection,Спринт / Предыдущий раздел,Sprinten / Vorheriger Abschnitt,Sprint / Section précédente,Correr / Sección anterior,Correr / Sección anterior,Correr / Seção anterior,Correr / Seção anterior,Scatto / Sezione precedente,Спринт / Попередній розділ,Sprint / Poprzednia sekcja,Sprint / Předchozí sekce,Koş / Önceki Bölüm,Sprinten / Vorige sectie,Løb / Forrige sektion,Løp / Forrige seksjon,Spring / Föregående sektion,Juoksu / Edellinen osa,Alergare / Secțiunea Anterioară,Futás / Előző szakasz,Тичане / Предишен раздел,Chạy / Mục trước,Lari / Bagian Sebelumnya,Takbo / Seksyong Nakaraan,วิ่ง / ส่วนก่อนหน้า,달리기 / 이전 섹션,走る / 前のパート,奔跑 / 上一部分,奔跑 / 上一部分,
Controls_NextSection,Следующий раздел / Спринт,Nächster Abschnitt / Sprinten,Section suivante / Sprint,Siguiente sección / Correr,Siguiente sección / Correr,Próxima seção / Correr,Próxima seção / Correr,Sezione successiva / Scatto,Наступний розділ / Спринт,Następna sekcja / Sprint,Další sekce / Sprint,Sonraki Bölüm / Koş,Volgende sectie / Sprinten,Næste sektion / Løb,Neste seksjon / Løp,Nästa sektion / Spring,Seuraava osa / Juoksu,Secțiunea Următoare / Alergare,Következő szakasz / Futás,Следващ раздел / Тичане,Mục tiếp theo / Chạy,Bagian Berikutnya / Lari,Susunod na Seksyon / Takbo,ส่วนถัดไป / วิ่ง,다음 섹션 / 달리기,次のパート / 走る,下一部分 / 奔跑,下一部分 / 奔跑,
Controls_KB_Sprint,Спринт,Sprinten,Sprint,Correr,Correr,Correr,Correr,Scatto,Спринт,Sprint,Sprint,Koş,Sprinten,Løb,Løp,Spring,Juoksu,Alergare,Futás,Тичане,Chạy,Lari,Takbo,วิ่ง,달리기,走る,奔跑,奔跑,
Controls_KB_PrevSection,Предыдущий раздел,Vorheriger Abschnitt,Section précédente,Sección anterior,Sección anterior,Seção anterior,Seção anterior,Sezione precedente,Попередній розділ,Poprzednia sekcja,Předchozí sekce,Önceki Bölüm,Vorige sectie,Forrige sektion,Forrige seksjon,Föregående sektion,Edellinen osa,Secțiunea Anterioară,Előző szakasz,Предишен раздел,Mục trước,Bagian Sebelumnya,Seksyong Nakaraan,ส่วนก่อนหน้า,이전 섹션,前のパート,上一部分,上一部分,
Controls_KB_NextSection,Следующий раздел,Nächster Abschnitt,Section suivante,Siguiente sección,Siguiente sección,Próxima seção,Próxima seção,Sezione successiva,Наступний розділ,Następna sekcja,Další sekce,Sonraki Bölüm,Volgende sectie,Næste sektion,Neste seksjon,Nästa sektion,Seuraava osa,Secțiunea Următoare,Következő szakasz,Следващ раздел,Mục tiếp theo,Bagian Berikutnya,Seksyong Susunod,ส่วนถัดไป,다음 섹션,次のパート,下一部分,下一部分,
Controls_Thermos,Термос,Thermoskanne,Thermos,Termo,Termo,Garrafa térmica,Garrafa térmica,Thermos,Термос,Termos,Termoska,Termos,Thermosfles,Termoflaske,Termoflaske,Termos,Termospullo,Termos,Termosz,Термос,Bình giữ nhiệt,Termos,Termos,กระติกน้ำเก็บความร้อน,보온병,魔法瓶,保溫瓶,保温瓶,
Controls_TeaScreen,Чайный экран,Teebildschirm,Écran du thé,Pantalla del té,Pantalla del té,Tela do chá,Tela do chá,Menu del tè,Чайний екран,Ekran herbaty,Obrazovka s čajem,Çay Ekranı,Theescherm,Te-skærm,Teside,Tesida,Teeruudu,Ecran Ceai,Tea képernyő,Екран с чай,Màn hình trà,Layar Teh,Screen ng Tsaa,หน้าชา,차 화면,お茶の画面,茶界面,茶界面,
Hint_NewTeaRecipes,Новые чайные рецепты,Neue Teerezepte,Nouvelles recettes de thé,Nuevas recetas de té,Nuevas recetas de té,Novas receitas de chá,Novas receitas de chá,Nuove ricette di tè,Нові чайні рецепти,Nowe przepisy na herbatę,Nové recepty na čaj,Yeni Çay Tarifleri,Nieuwe theerecepten,Nye teopskrifter,Nye teoppskrifter,Nya terecept,Uusia teereseptejä,Rețete noi de ceai,Új teareceptek,Нови рецепти за чай,Công thức trà mới,Resep Teh Baru,Mga Bagong Recipe ng Tsaa,สูตรชงชาใหม่,새로운 차 레시피,新しいお茶のレシピ,新茶飲配方,新茶饮配方,
TeaAnimal_Moss,Мох,Moos,Mousse,Musgo,Musgo,Musgo,Musgo,Muschio,Мох,Mech,Mech,Yosun,Mos,Mos,Mose,Mossa,Sammal,Mușchi,Moha,Мъх,Rêu,Lumut,Lumot,มอส,이끼,コケ,苔蘚,苔藓,
TeaAnimal_Autumn,Осень,Herbst,Automne,Otoño,Otoño,Outono,Outono,Autunno,Осінь,Jesień,Podzim,Sonbahar,Herfst,Efterår,Høst,Höst,Syksy,Toamnă,Ősz,Есен,Mùa thu,Musim Gugur,Taglagas,ฤดูใบไม้ร่วง,가을,秋,秋季,秋季,
TeaAnimal_Pillowers,Подушкари,Kissen-Tukoni,Tukoni de l'Oreiller,Tukoni de almohada,Tukoni de almohada,Tukoni-Almofadeiros,Tukoni-Almofadeiros,Tukoni del Cuscino,Подушкарі,Poduszkarze,Polštářoví Tukoni,Yastık Tukonileri,Kussen-Tukoni,Pude-Tukoni,Pute-Tukoni,Kudde-Tukoni,Tyyny-Tukonit,Tukoni de pernă,Párna Tukonik,Възглавнични тукони,Tukoni gối,Tukoni Bantal,Pillow Tukoni,ทูโคนิหมอน,베개 투코니,まくら・トゥコニ,枕頭圖科尼,枕头图科尼,
TeaAnimal_Badger,Барсук,Dachs,Blaireau,Tejón,Tejón,Texugo,Texugo,Tasso,Борсук,Borsuk,Jezevec,Porsuk,Das,Grævling,Grevling,Grävling,Mäyrä,Bursuc,Borzn,Язовец,Lửng,Luak,Badyang,แบดเจอร์,오소리,アナグマ,獾,獾,
TeaAnimal_Groundhogs,Бабаки,Murmeltier,Marmottes,Marmotas,Marmotas,Marmotas,Marmotas,Marmotte,Бабаки,Świstaki,Svišti,Dağ sıçanları,Marmotten,Murmeldyr,Murmeldyr,Murmeldjur,Murmelit,Marmote,Mormoták,Мармотите,Chuột marmot,Marmut,Marmot,มาร์มอต,마멋,マーモット,土撥鼠,土拨鼠,
TeaAnimal_Dormouse,Соня,Haselmaus,Muscardin,Lirón,Lirón,Arganaz,Arganaz,Moscardino,Ліскулька,Orzesznica,Plšík lískový,Fındık fındık faresi,Hazelmuis,Hasselmus,Hasselmus,Hasselmus,Pähkinähiiri,Pârș de alun,Mogyorós pele,Лешников сънливец,Chuột sóc phỉ,Tikus asrama hazel,Hazel dormouse,ดอร์เมาส์เฮเซล,겨울잠쥐,ヤマネ,榛睡鼠,榛睡鼠,
TeaAnimal_Hedgehog,Ёж,Igel,Hérisson,Erizo,Erizo,Ouriço,Ouriço,Riccio,Їжак,Jeż,Ježek,Kirpi,Egel,Pindsvin,Pinnsvin,Igelkott,Siili,Arici,Sündisznó,Таралеж,Nhím,Landak,Bubuyog-damo,เม่น,고슴도치,ハリネズミ,刺蝟,刺猬,
TeaAnimal_Bison,Зубр,Bison,Bison,Bisonte,Bisonte,Bisão,Bisão,Bisonte,Зубр,Żubr,Zubr,Bizon,Bizon,Bison,Bison,Bison,Biisoni,Bizon,Bölcs,Зубър,Bò rừng,Bison,Bison,ไบซัน,들소,バイソン,野牛,野牛,
TeaAnimal_BisonHidden,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,???,
TeaAnimal_SheBear,Медведица,Bärin,Ourse,Osa,Osa,Ursa,Ursa,Orsa,Ведмедиця,Niedźwiedzica,Medvědice,Dişi ayı,Berin,Hunbjørn,Hunnbjørn,Björninna,Naaraskarhu,Ursoaică,Nőstény medve,Мечка,Gấu cái,Beruang betina,Babaeng oso,หมีตัวเมีย,암곰,メスグマ,母熊,母熊,
TeaAnimal_Maybug,Майский жук,Maikäfer,Hanneton,Escarabajo de mayo,Escarabajo de mayo,Escaravelho,Escaravelho,Maggiolino,Хрущ,Chrabąszcz Majowy,Chroust,Mayıs böceği,Meikever,Oldenborre,Oldenborre,Ollonborre,Lehtikuoriainen,Cărăbuș,Cserebogár,Майски бръмбар,Bọ hung tháng năm,Kumbang Mei,Salagubang,ด้วงเดือนพฤษภาคม,풍뎅이,コガネムシ,金龜子,金龟子,
TeaAnimal_TeaTukoni,Чайный Тукони,Tee-Tukoni,Tukoni du Thé,Tukoni de Té,Tukoni de Té,Tukoni do Chá,Tukoni do Chá,Tukoni del Tè,Чайний Туконі,Herbaciany Tukoni,Čaj Tukoni,Çay Tukoni,Thee Tukoni,Tukoni-te,Tukoni-te,Tukoni-te,Tukoni-tee,Tukoni Ceai,Tea Tukoni,Чай Тукони,Trà Tukoni,Teh Tukoni,Tsaa ng Tukoni,ชาทูโคนี,차 투코니,おちゃ・トゥコニ,茶圖科尼,茶图科尼,
TeaAnimal_StarTea,Собственный купаж,Deine eigene Mischung,Votre propre mélange,Tu propia mezcla,Tu propia mezcla,Sua própria mistura,A tua própria mistura,La tua miscela,Власний купаж,Własna mieszanka,Vlastní směs,Kendi Harmanın,Je Eigen Melange,Din egen blanding,Din egen blanding,Din egen blandning,Oma sekoituksesi,Propriul tău amestec,Saját keveréked,Твоя собствена смес,Hỗn hợp của riêng bạn,Racikanmu Sendiri,Sarili Mong Halo,ชาสูตรของคุณเอง,나만의 블렌드,特製ブレンド,專屬調配,专属调配,
Intro_Text,Создано в соавторстве с Оксаной Булой,Entstanden in Zusammenarbeit mit Oksana Bula,Créé en collaboration avec Oksana Bula,Creado en colaboración con Oksana Bula,Creado en colaboración con Oksana Bula,Criado em colaboração com Oksana Bula,Criado em colaboração com Oksana Bula,Creato in collaborazione con Oksana Bula,Створено у співавторстві з Оксаною Булою,Stworzono we współpracy z Oksaną Bułą,Vytvořeno ve spolupráci s Oksanou Bulou,Oksana Bula ile iş birliğiyle hazırlandı,Gemaakt in samenwerking met Oksana Bula,Skabt i samarbejde med Oksana Bula,Laget i samarbeid med Oksana Bula,Skapat i samarbete med Oksana Bula,Luotu yhteistyössä Oksana Bulan kanssa,Creat în colaborare cu Oksana Bula,Oksana Bulával együttműködésben készült,Създадено в сътрудничество с Оксана Була,Được thực hiện với sự hợp tác của Oksana Bula,Dibuat bekerja sama dengan Oksana Bula,Ginawa sa pakikipagtulungan kay Oksana Bula,สร้างสรรค์ร่วมกับ Oksana Bula,옥사나 불라(Oksana Bula)와 함께 제작되었습니다,Oksana Bulaとの共同制作,與 Oksana Bula 合作創作,与 Oksana Bula 合作创作,
GamePadDis_TextID,"Контроллер отключён. Подключите его снова, чтобы продолжить",Controller getrennt. Zum Fortfahren erneut verbinden,Manette déconnectée. Reconnectez-la pour continuer,Control desconectado. Vuelve a conectarlo para continuar,Control desconectado. Vuelve a conectarlo para continuar,Controle desconectado. Reconecte para continuar,Comando desligado. Volte a ligá-lo para continuar,Controller disconnesso. Ricollegalo per continuare,"Контролер від’єднано. Під’єднайте його знову, щоб продовжити","Kontroler odłączony. Podłącz go ponownie, aby kontynuować",Ovladač byl odpojen. Pro pokračování jej znovu připojte,Kontrolcü bağlantısı kesildi. Devam etmek için yeniden bağlayın,Controller losgekoppeld. Verbind opnieuw om door te gaan,Controller frakoblet. Tilslut igen for at fortsætte,Kontroller frakoblet. Koble til igjen for å fortsette,Handkontrollen kopplades från. Anslut igen för att fortsätta,Ohjain irrotettu. Yhdistä uudelleen jatkaaksesi,Controler deconectat. Reconectează-l pentru a continua,A kontroller leválasztva. Csatlakoztasd újra a folytatáshoz,"Контролерът е изключен. Свържете го отново, за да продължите",Tay cầm đã ngắt kết nối. Kết nối lại để tiếp tục,Kontroler terputus. Sambungkan kembali untuk melanjutkan,Nadiskonekta ang controller. Ikonekta muli upang magpatuloy,คอนโทรลเลอร์ถูกตัดการเชื่อมต่อ เชื่อมต่อใหม่เพื่อเล่นต่อ,컨트롤러 연결이 해제되었습니다. 다시 연결해 주세요,コントローラーの接続が切れました。続けるには再接続してください。,控制器已斷開連接。請重新連接以繼續,控制器已断开连接。请重新连接以继续,
Setngs_FullscreenMode,Режим экрана,Anzaige,Écran,Pantalla,Pantalla,Tela,Ecrã,Schermo,Режим екрана,Ekran,Obrazovka,Ekran,Scherm,Skærm,Skjerm,Skärm,Näyttö,Ecran,Képernyő,Екран,Màn hình,Layar,Screen,หน้าจอ,화면,画面,螢幕,屏幕,
Setngs_FullscreenMode_F,Полноэкранный,Vollbild,Plein écran,Pantalla completa,Pantalla completa,Tela cheia,Ecrã inteiro,Schermo intero,Повноекранний,Pełny ekran,Celá obrazovka,Tam Ekran,Volledig scherm,Fuldskærm,Fullskjerm,Helskärm,Koko näyttö,Ecran complet,Teljes képernyő,Цял екран,Toàn màn hình,Layar Penuh,Fullscreen,เต็มจอ,전체 화면,フルスクリーン,全螢幕,全屏,
Setngs_FullscreenMode_W,Оконный,Fenster,Fenêtré,Ventana,Ventana,Janela,Janela,In finestra,Віконний,Tryb okienkowy,V okně,Pencere Modu,Venstermodus,Vinduestilstand,Vindusmodus,Fönsterläge,Ikkunatila,Fereastră,Ablakos mód,Прозоречен режим,Chế độ cửa sổ,Mode Jendela,Windowed,โหมดหน้าต่าง,창 모드,ウィンドウ,窗口模式,窗口模式,
Setngs_FullscreenMode_WF,Окно без рамки,Vollbild-Fenster,Fenêtre sans bordure,Ventana sin bordes,Ventana sin bordes,Janela sem bordas,Janela sem margens,Finestra senza bordi,Повноекранне вікно,Okno bez ramek,Bezokrajové okno,Kenarlıksız Pencere,Randloos venster,Kantløst vindue,Kantløst vindu,Kantlöst fönster,Reunaton ikkuna,Fereastră fără margini,Keret nélküli ablak,Прозорец без рамка,Cửa sổ không viền,Jendela Tanpa Bingkai,Borderless Window,หน้าต่างไร้ขอบ,테두리 없는 창 모드,ボーダーレス,無邊框窗口,无边框窗口,
Grid_Grab,Взять,Nehmen,Prendre,Agarrar,Agarrar,Pegar,Pegar,Prendi,Взяти,Weź,Vzít,Al,Pakken,Tag,Ta,Ta,Ota,Ia,Felvesz,Вземи,Nhặt,Ambil,Kunin,หยิบ,집기,手に取る,拿起,拿起,
Grid_PutBack,Вернуть,Zurücklegen,Reposer,Devolver,Devolver,Guardar,Voltar a pôr,Rimetti,Повернути,Odłóż,Vrátit,Geri Koy,Terugleggen,Læg tilbage,Legg tilbake,Lägg tillbaka,Laita takaisin,Pune la loc,Visszatesz,Върни,Đặt lại,Kembalikan,Ibalik,วางกลับ,제자리에 놓기,しまう,放回,放回,
Credits_Oksana,Арт-директор и создательница Тукони,Art Director & Erschafferin von Tukoni,Directrice artistique & créatrice de Tukoni,Directora de Arte y Creadora de Tukoni,Directora de Arte y Creadora de Tukoni,Diretora de Arte e Criadora de Tukoni,Diretora de Arte e Criadora de Tukoni,Direttrice Artistica e Creatrice di Tukoni,Арт-директорка та творчиня Туконі,Dyrektorka artystyczna i twórczyni Tukoni,Art Director a tvůrkyně Tukoni,Sanat Yönetmeni ve Tukoni'nin Yaratıcısı,Art Director & Bedenker van Tukoni,Art Director & Skaber af Tukoni,Art Director og skaper av Tukoni,Art Director & skapare av Tukoni,Taiteellinen johtaja & Tukonin luoja,Director Artistic și Creatoarea Tukoni,Art Director és a Tukoni alkotója,Арт директор и създател на Тукони,Giám đốc Mỹ thuật & Người sáng tạo Tukoni,Art Director & Pencipta Tukoni,Art Director at Creator ng Tukoni,ผู้กำกับศิลป์และผู้สร้าง Tukoni,아트 디렉터 & 투코니 창작자,アートディレクター ＆ トゥコニの生みの親,美術指導 & 圖科尼的創作者,美术指导 & 图科尼的创作者,
Credits_Directors,Шеф,Chef,Chef,Chef,Chef,Chef,Chef,Chef,Шеф,Szef,Šéf,Şef,Chef,Chef,Sjef,Chef,Johtaja,Șef,Séf,Шеф,Chef,Chef,Chef,เชฟ,셰프,シェフ,主廚,主厨,
Credits_Art,Шеф-художница,Art-Chefin,Chef Artistique,Chef de Arte,Chef de Arte,Chef de Arte,Chef de Arte,Chef Artistica,Шеф-художниця,Szef artystyczny,Šéf Artu,Sanat Şefi,Art Chef,Art Chef,Kunstsjef,Konstchef,Taidejohtaja,Șef Artă,Art Séf,Арт шеф,Chef Mỹ thuật,Chef Art,Art Chef,เชฟฝ่ายศิลป์,아트 셰프,アートシェフ,美術主廚,美术主厨,
Credits_AddArt,Дополнительный арт,Zusätzliches Art-Team,Art additionnel,Arte adicional,Arte adicional,Arte adicional,Arte adicional,Grafica aggiuntiva,Додатковий арт,Dodatkowe materiały artystyczne,Další grafika,Ek Sanat,Extra Art,Ekstra Art,Ekstra kunst,Extra konst,Lisägrafiikka,Artă suplimentară,További grafika,Допълнително изкуство,Mỹ thuật bổ sung,Art Tambahan,Karagdagang Art,งานศิลป์เพิ่มเติม,추가 아트,サポートアート,額外美術,额外美术,
Credits_Programming,Шеф-программист,Programmier-Chef,Chef Programmation,Chef de Programación,Chef de Programación,Chef de Programação,Chef de Programação,Chef della programmazione,Шеф-програміст,Szef programowania,Šéf Programování,Programlama Şefi,Programmeer-Chef,Programmerings-Chef,Programmeringssjef,Programmeringschef,Ohjelmointijohtaja,Șef Programare,Programozási Séf,Шеф програмиране,Chef Lập trình,Chef Programming,Programming Chef,เชฟฝ่ายโปรแกรม,프로그래밍 셰프,プログラムシェフ,程序主廚,程序主厨,
Credits_AddProgramming,Дополнительное программирование,Zusätzliches Programmier-Team,Programmation additionnelle,Programación adicional,Programación adicional,Programação adicional,Programação adicional,Programmazione aggiuntiva,Додаткове програмування,Dodatkowe programowanie,Další programování,Ek Programlama,Extra Programmeerwerk,Ekstra Programmering,Ekstra programmering,Extra programmering,Lisäohjelmointi,Programare suplimentară,További programozás,Допълнително програмиране,Lập trình bổ sung,Programming Tambahan,Karagdagang Programming,งานโปรแกรมเพิ่มเติม,추가 프로그래밍,サポートプログラム,額外程序,额外程序,
Credits_Animation,Шеф-аниматор,Animations-Chef,Chef Animation,Chef de Animación,Chef de Animación,Chef de Animação,Chef de Animação,Chef dell'animazione,Шеф-аніматор,Szef animacji,Šéf Animace,Animasyon Şefi,Animatie-Chef,Animations-Chef,Animasjonssjef,Animationschef,Animaatiojohtaja,Șef Animație,Animációs Séf,Шеф анимация,Chef Hoạt hình,Chef Animasi,Animation Chef,เชฟฝ่ายแอนิเมชัน,애니메이션 셰프,アニメーションシェフ,動畫主廚,动画主厨,
Credits_AddAnimation,Дополнительная анимация,Zusätzliches Animationsteam,Animation additionnelle,Animación adicional,Animación adicional,Animação adicional,Animação adicional,Animazione aggiuntiva,Додаткова анімація,Dodatkowe prace animacyjne,Další animace,Ek Animasyon,Extra Animatie,Ekstra Animation,Ekstra animasjon,Extra animation,Lisäanimaatio,Animație suplimentară,További animáció,Допълнителна анимация,Hoạt hình bổ sung,Animasi Tambahan,Karagdagang Animation,งานแอนิเมชันเพิ่มเติม,추가 애니메이션,サポートアニメーション,額外動畫,额外动画,
Credits_Sound,Шеф-звукорежиссёры,Sound-Chefs,Chefs Son,Chefs de Sonido,Chefs de Sonido,Chefs de Som,Chefs de Som,Chef del Suono,Шеф-звукорежисери,Szefowie dźwięku,Šéfové Zvuku,Ses Şefleri,Sound Chefs,Lyd-Chefs,Lydsjefer,Ljudchefer,Äänijohtajat,Șefi de Sunet,Hang Séfek,Шефове звук,Các Chef Âm thanh,Para Chef Sound,Mga Sound Chef,เชฟฝ่ายเสียง,사운드 셰프,サウンドシェフ,音效主廚,音效主厨,
Credits_QA,QA-шеф,QA-Chefin,Chef QA,Chef de QA,Chef de QA,Chef de QA,Chef de QA,Chef QA,QA-шеф,Szef QA,Šéf QA,QA Şefi,QA-Chef,QA-Chef,QA-sjef,QA-chef,QA-johtaja,Șef QA,QA Séf,QA шеф,Chef QA,Chef QA,QA Chef,เชฟฝ่าย QA,QA 셰프,QAシェフ,QA 主廚,QA 主厨,
Credits_VFX,VFX-шеф,VFX-Chefin,Chef VFX,Chef de VFX,Chef de VFX,Chef de VFX,Chef de VFX,Chef VFX,VFX-шеф,Szef VFX,Šéf VFX,VFX Şefi,VFX-Chef,VFX-Chef,VFX-sjef,VFX-chef,VFX-johtaja,Șef VFX,VFX Séf,VFX шеф,Chef VFX,Chef VFX,VFX Chef,เชฟฝ่าย VFX,VFX 셰프,VFXシェフ,VFX 主廚,VFX 主厨,
Credits_Voiceover,Голоса Тукони,Tukoni-Stimmen,Voix de Tukoni,Voces de Tukoni,Voces de Tukoni,Vozes de Tukoni,Vozes de Tukoni,Voci dei Tukoni,Голоси Туконі,Głosy Tukonich,Hlasy Tukoni,Tukoni Sesleri,Tukoni-stemmen,Tukoni-stemmer,Tukoni-stemmer,Tukoni-röster,Tukonin äänet,Vocile Tukoni,Tukoni hangjai,Гласовете на Тукони,Giọng nói Tukoni,Suara Tukoni,Mga Boses ng Tukoni,เสียงของ Tukoni,보이스 투코니,ボイスのトゥコニ,聲音圖科尼,声音图科尼,
Credits_Playtesters,Плейтестеры Тукони,Tukoni-Spieltester,Testeurs Tukoni,Playtesters de Tukoni,Playtesters de Tukoni,Playtesters de Tukoni,Playtesters de Tukoni,Playtester di Tukoni,Плейтестери Туконі,Testerzy Tukoni,Testeři Tukoni,Tukoni Playtestçileri,Tukoni Playtesters,Tukoni Playtestere,Tukoni-playtestere,Tukoni-playtestare,Tukonin pelitestaajat,Testeri Tukoni,Tukoni Playtesterek,Плейтестъри на Тукони,Người chơi thử Tukoni,Playtester Tukoni,Mga Playtester ng Tukoni,ผู้ทดสอบเกม Tukoni,플레이테스트 투코니,テストプレイのトゥコニ,遊戲測試圖科尼,游戏测试图科尼,
Credits_Localizators,Переводчики Тукони,Tukoni-Übersetzung,Traduction Tukoni,Traducción de Tukoni,Traducción de Tukoni,Tradução de Tukoni,Tradução de Tukoni,Traduttori di Tukoni,Перекладачі Туконі,Tłumacze Tukoni,Překlad Tukoni,Tukoni Çevirisi,Tukoni Vertaling,Tukoni Oversættelse,Tukoni-oversettelse,Tukoni-översättning,Tukonin käännös,Traducere Tukoni,Tukoni Fordítás,Превод на Тукони,Bản dịch Tukoni,Terjemahan Tukoni,Pagsasalin ng Tukoni,ทีมแปล Tukoni,번역 투코니,ほんやくのトゥコニ,翻譯圖科尼,翻译图科尼,
Credits_Babies,Добро пожаловать в семью Тукони,Willkommen in der Tukoni-Familie,Bienvenue dans la famille Tukoni,Bienvenidos a la familia Tukoni,Bienvenidos a la familia Tukoni,Bem-vindos à família Tukoni,Bem-vindos à família Tukoni,Benvenuti nella famiglia Tukoni,Ласкаво просимо до родини Туконі,Witamy w rodzinie Tukoni,Vítejte v rodině Tukoni,Tukoni Ailesine Hoş Geldiniz,Welkom bij de Tukoni-familie,Velkommen til Tukoni-familien,Velkommen til Tukoni-familien,Välkomna till Tukoni-familjen,Tervetuloa Tukoni-perheeseen,Bun venit în familia Tukoni,Üdvözlünk a Tukoni családban,Добре дошли в семейството на Тукони,Chào mừng đến với gia đình Tukoni,Selamat Datang di Keluarga Tukoni,Maligayang Pagdating sa Pamilyang Tukoni,ยินดีต้อนรับสู่ครอบครัว Tukoni,투코니 가족이 된 것을 환영합니다,トゥコニファミリーへようこそ,歡迎加入圖科尼大家庭,欢迎加入图科尼大家庭,
Credits_Special,Наша команда хотела бы поблагодарить:,Unser Team möchte danken:,Notre équipe tient à remercier :,Nuestro equipo quiere agradecer a:,Nuestro equipo quiere dar las gracias a:,Nossa equipe gostaria de agradecer a:,A nossa equipa gostaria de agradecer a:,Il nostro team desidera ringraziare:,Наша команда хотіла б подякувати:,Nasz zespół chciałby podziękować:,Náš tým by chtěl poděkovat:,Ekibimiz şunlara teşekkür etmek istiyor:,Ons team wil graag bedanken:,Vores team vil gerne takke:,Teamet vårt vil gjerne takke:,Vårt team vill tacka:,Tiimimme haluaa kiittää:,Echipa noastră ar dori să mulțumească:,Csapatunk szeretné megköszönni:,Нашият екип иска да благодари на:,Đội ngũ của chúng tôi muốn cảm ơn:,Tim kami ingin mengucapkan terima kasih kepada:,Nais pasalamatan ng aming koponan:,ทีมของเราขอขอบคุณ:,개발팀이 감사의 마음을 전하는 분들:,開発チーム特別な感謝を込めて：,製作團隊特別感謝以下朋友：,制作团队特别感谢以下朋友：,
Credits_SpecialThanks,Друзья Тукони,Tukoni-Helfer,Les amis de Tukoni,Colaboradores de Tukoni,Colaboradores de Tukoni,Apoiadores de Tukoni,Colaboradores de Tukoni,Amici di Tukoni,Друзі Туконі,Przyjaciele Tukoni,Přátelé Tukoni,Tukoni Dostları,Vrienden van Tukoni,Tukonis venner,Tukonis venner,Tukonis vänner,Tukonin ystävät,Prietenii Tukoni,Tukoni barátai,Приятели на Tukoni,Những người bạn của Tukoni,Sahabat Tukoni,Mga Tumulong kay Tukoni,ผู้ที่ช่วยเหลือ Tukoni,도움을 준 투코니들,おたすけトゥコニ,樂於助人圖科尼,乐于助人图科尼,
